Date : 2024-04-23 23:43:01
Directory : /Users/dgee/Documents/blog/blog
Total : 252 files,  42565 codes, 5602 comments, 12005 blanks, all 60172 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| content/blog/2019                                                                                                         |         17 |        783 |          0 |        363 |      1,146 |
| content/blog/2019/01                                                                                                      |          3 |         83 |          0 |         43 |        126 |
| content/blog/2019/02                                                                                                      |          2 |         79 |          0 |         38 |        117 |
| content/blog/2019/04                                                                                                      |          1 |        206 |          0 |         71 |        277 |
| content/blog/2019/06                                                                                                      |          1 |         66 |          0 |         29 |         95 |
| content/blog/2019/07                                                                                                      |          1 |         26 |          0 |         12 |         38 |
| content/blog/2019/09                                                                                                      |          3 |         65 |          0 |         33 |         98 |
| content/blog/2019/10                                                                                                      |          1 |         46 |          0 |         16 |         62 |
| content/blog/2019/11                                                                                                      |          5 |        212 |          0 |        121 |        333 |
| content/blog/2020                                                                                                         |          6 |        285 |          0 |        179 |        464 |
| content/blog/2020/02                                                                                                      |          2 |        113 |          0 |         74 |        187 |
| content/blog/2020/06                                                                                                      |          1 |         39 |          0 |         17 |         56 |
| content/blog/2020/07                                                                                                      |          2 |         97 |          0 |         65 |        162 |
| content/blog/2020/12                                                                                                      |          1 |         36 |          0 |         23 |         59 |
| content/blog/2021                                                                                                         |         10 |      1,067 |          0 |        439 |      1,506 |
| content/blog/2021/02                                                                                                      |          1 |         94 |          0 |         69 |        163 |
| content/blog/2021/02/23-02-2021-graphops                                                                                  |          1 |         94 |          0 |         69 |        163 |
| content/blog/2021/04                                                                                                      |          1 |         26 |          0 |         13 |         39 |
| content/blog/2021/04/28-04-2021-workflow-maturity                                                                         |          1 |         26 |          0 |         13 |         39 |
| content/blog/2021/05                                                                                                      |          3 |        581 |          0 |        210 |        791 |
| content/blog/2021/05/16-05-2021-uijourney                                                                                 |          1 |         46 |          0 |         19 |         65 |
| content/blog/2021/05/17-05-2021-uijourney                                                                                 |          1 |        106 |          0 |         49 |        155 |
| content/blog/2021/05/24-05-2021-uijourney                                                                                 |          1 |        429 |          0 |        142 |        571 |
| content/blog/2021/06                                                                                                      |          1 |         85 |          0 |         39 |        124 |
| content/blog/2021/06/30-06-2021-uijourney                                                                                 |          1 |         85 |          0 |         39 |        124 |
| content/blog/2021/07                                                                                                      |          2 |        195 |          0 |         72 |        267 |
| content/blog/2021/07/14-07-2021-awsddb                                                                                    |          1 |        162 |          0 |         57 |        219 |
| content/blog/2021/07/26-07-2021-testing-spa                                                                               |          1 |         33 |          0 |         15 |         48 |
| content/blog/2021/08                                                                                                      |          1 |         22 |          0 |         12 |         34 |
| content/blog/2021/08/10-08-2021-bell-curve-architecture                                                                   |          1 |         22 |          0 |         12 |         34 |
| content/blog/2021/11                                                                                                      |          1 |         64 |          0 |         24 |         88 |
| content/blog/2022                                                                                                         |         20 |      1,437 |          0 |        559 |      1,996 |
| content/blog/2022/02                                                                                                      |          1 |         33 |          0 |         10 |         43 |
| content/blog/2022/02/17-02-2022-webhooks                                                                                  |          1 |         33 |          0 |         10 |         43 |
| content/blog/2022/03                                                                                                      |          5 |        220 |          0 |         88 |        308 |
| content/blog/2022/03/08-03-2022-buy-and-whine                                                                             |          1 |         41 |          0 |         31 |         72 |
| content/blog/2022/03/16-03-2022-beg-forgiveness                                                                           |          1 |         47 |          0 |         14 |         61 |
| content/blog/2022/03/18-03-2022-github-deploy-tokens-port-443                                                             |          1 |         55 |          0 |         18 |         73 |
| content/blog/2022/03/23-03-2022-responsive-tailwind                                                                       |          2 |         77 |          0 |         25 |        102 |
| content/blog/2022/05                                                                                                      |          1 |         61 |          0 |         39 |        100 |
| content/blog/2022/05/24-05-2022-cloud-ops                                                                                 |          1 |         61 |          0 |         39 |        100 |
| content/blog/2022/06                                                                                                      |          1 |         57 |          0 |         20 |         77 |
| content/blog/2022/06/26-06-2022-aws-iam-ddb                                                                               |          1 |         57 |          0 |         20 |         77 |
| content/blog/2022/07                                                                                                      |          6 |        581 |          0 |        222 |        803 |
| content/blog/2022/07/04-07-2022-mobiscroll                                                                                |          1 |         73 |          0 |         34 |        107 |
| content/blog/2022/07/06-07-2022-candytext                                                                                 |          1 |         53 |          0 |         31 |         84 |
| content/blog/2022/07/06-08-2022-ddbtools                                                                                  |          1 |        122 |          0 |         40 |        162 |
| content/blog/2022/07/20-07-2022-arangodb                                                                                  |          3 |        333 |          0 |        117 |        450 |
| content/blog/2022/08                                                                                                      |          3 |        210 |          0 |         64 |        274 |
| content/blog/2022/08/02-08-2022-resetgit                                                                                  |          1 |         33 |          0 |         15 |         48 |
| content/blog/2022/08/04-08-2022-react_ix_js                                                                               |          1 |        147 |          0 |         35 |        182 |
| content/blog/2022/08/15-08-2022-api-consumer-version-synchronicity                                                        |          1 |         30 |          0 |         14 |         44 |
| content/blog/2022/09                                                                                                      |          1 |        163 |          0 |         64 |        227 |
| content/blog/2022/09/01-09-2022-aws-lambda-go-local                                                                       |          1 |        163 |          0 |         64 |        227 |
| content/blog/2022/10                                                                                                      |          1 |         33 |          0 |         13 |         46 |
| content/blog/2022/10/25-10-2022-client-network-socket-disconnected                                                        |          1 |         33 |          0 |         13 |         46 |
| content/blog/2022/11                                                                                                      |          1 |         79 |          0 |         39 |        118 |
| content/blog/2022/11/01-11-2022-webhook-architecture                                                                      |          1 |         79 |          0 |         39 |        118 |
| content/blog/2023                                                                                                         |          4 |        198 |          0 |         69 |        267 |
| content/blog/2023/01                                                                                                      |          1 |         57 |          0 |         18 |         75 |
| content/blog/2023/01/16-01-2023-career-direction-change                                                                   |          1 |         57 |          0 |         18 |         75 |
| content/blog/2023/03                                                                                                      |          1 |        106 |          0 |         39 |        145 |
| content/blog/2023/03/02-03-2023-git-signing                                                                               |          1 |        106 |          0 |         39 |        145 |
| content/blog/2023/08                                                                                                      |          1 |         15 |          0 |          3 |         18 |
| content/blog/2023/08/21-08-2023-international-a2p-sms-hassle                                                              |          1 |         15 |          0 |          3 |         18 |
| content/blog/2023/09                                                                                                      |          1 |         20 |          0 |          9 |         29 |
| content/blog/2023/09/28-09-2023-gpt-bard-bad-education                                                                    |          1 |         20 |          0 |          9 |         29 |
| content/blog/2024                                                                                                         |          1 |         45 |          0 |         29 |         74 |
| content/blog/2024/04                                                                                                      |          1 |         45 |          0 |         29 |         74 |
| content/blog/2024/04/23-04-2024-ai-llm-bs                                                                                 |          1 |         45 |          0 |         29 |         74 |
| content/builtfm                                                                                                           |          1 |          6 |          0 |          1 |          7 |
| content/contact                                                                                                           |          1 |          6 |          0 |          1 |          7 |
| content/graphops                                                                                                          |          1 |          6 |          0 |          1 |          7 |
| content/list                                                                                                              |          1 |          6 |          0 |          1 |          7 |
| content/portfolio                                                                                                         |          1 |          6 |          0 |          1 |          7 |
| data                                                                                                                      |          3 |         62 |          0 |         16 |         78 |
| data/en                                                                                                                   |          3 |         62 |          0 |         16 |         78 |
| themes                                                                                                                    |         88 |     29,369 |      5,597 |      7,217 |     42,183 |
| themes/navigator-hugo                                                                                                     |         88 |     29,369 |      5,597 |      7,217 |     42,183 |
| themes/navigator-hugo (Files)                                                                                             |          1 |         59 |          0 |         25 |         84 |
| themes/navigator-hugo/archetypes                                                                                          |          1 |          2 |          0 |          1 |          3 |
| themes/navigator-hugo/assets                                                                                              |          2 |      2,055 |        136 |        416 |      2,607 |
| themes/navigator-hugo/assets/css                                                                                          |          1 |      1,786 |         65 |        352 |      2,203 |
| themes/navigator-hugo/assets/js                                                                                           |          1 |        269 |         71 |         64 |        404 |
| themes/navigator-hugo/layouts                                                                                             |         59 |      1,447 |         22 |        133 |      1,602 |
| themes/navigator-hugo/layouts (Files)                                                                                     |          2 |         19 |          0 |          9 |         28 |
| themes/navigator-hugo/layouts/_default                                                                                    |          3 |        103 |          8 |         18 |        129 |
| themes/navigator-hugo/layouts/builtfm                                                                                     |          1 |          4 |          0 |          3 |          7 |
| themes/navigator-hugo/layouts/contact                                                                                     |          1 |          4 |          0 |          3 |          7 |
| themes/navigator-hugo/layouts/graphops                                                                                    |          1 |          4 |          0 |          3 |          7 |
| themes/navigator-hugo/layouts/list                                                                                        |          1 |          4 |          0 |          3 |          7 |
| themes/navigator-hugo/layouts/partials                                                                                    |         27 |      1,190 |         14 |         66 |      1,270 |
| themes/navigator-hugo/layouts/portfolio                                                                                   |          1 |          6 |          0 |          5 |         11 |
| themes/navigator-hugo/layouts/service                                                                                     |          1 |          8 |          0 |          7 |         15 |
| themes/navigator-hugo/layouts/shortcodes                                                                                  |         20 |        101 |          0 |         12 |        113 |
| themes/navigator-hugo/layouts/uijourney                                                                                   |          1 |          4 |          0 |          4 |          8 |
| themes/navigator-hugo/static                                                                                              |         25 |     25,806 |      5,439 |      6,642 |     37,887 |
| themes/navigator-hugo/static/plugins                                                                                      |         25 |     25,806 |      5,439 |      6,642 |     37,887 |
| themes/navigator-hugo/static/plugins/bootstrap                                                                            |          3 |          3 |         16 |          1 |         20 |
| themes/navigator-hugo/static/plugins/bootstrap/dist                                                                       |          3 |          3 |         16 |          1 |         20 |
| themes/navigator-hugo/static/plugins/bootstrap/dist/css                                                                   |          1 |          1 |          6 |          0 |          7 |
| themes/navigator-hugo/static/plugins/bootstrap/dist/js                                                                    |          2 |          2 |         10 |          1 |         13 |
| themes/navigator-hugo/static/plugins/filterzr                                                                             |          1 |          1 |          0 |          0 |          1 |
| themes/navigator-hugo/static/plugins/jquery                                                                               |          4 |     13,460 |      3,470 |      3,899 |     20,829 |
| themes/navigator-hugo/static/plugins/jquery (Files)                                                                       |          2 |      7,079 |      1,857 |      2,073 |     11,009 |
| themes/navigator-hugo/static/plugins/jquery/dist                                                                          |          2 |      6,381 |      1,613 |      1,826 |      9,820 |
| themes/navigator-hugo/static/plugins/lightbox2                                                                            |          6 |      7,089 |      1,690 |      1,716 |     10,495 |
| themes/navigator-hugo/static/plugins/lightbox2/dist                                                                       |          6 |      7,089 |      1,690 |      1,716 |     10,495 |
| themes/navigator-hugo/static/plugins/lightbox2/dist/css                                                                   |          2 |        182 |          4 |         29 |        215 |
| themes/navigator-hugo/static/plugins/lightbox2/dist/js                                                                    |          4 |      6,907 |      1,686 |      1,687 |     10,280 |
| themes/navigator-hugo/static/plugins/match-height                                                                         |          1 |          7 |          5 |          0 |         12 |
| themes/navigator-hugo/static/plugins/parallax                                                                             |          1 |         42 |         16 |         12 |         70 |
| themes/navigator-hugo/static/plugins/slick-carousel                                                                       |          6 |      2,415 |         52 |        897 |      3,364 |
| themes/navigator-hugo/static/plugins/slick-carousel/slick                                                                 |          6 |      2,415 |         52 |        897 |      3,364 |
| themes/navigator-hugo/static/plugins/slick-carousel/slick (Files)                                                         |          5 |      2,402 |         52 |        895 |      3,349 |
| themes/navigator-hugo/static/plugins/slick-carousel/slick/fonts                                                           |          1 |         13 |          0 |          2 |         15 |
| themes/navigator-hugo/static/plugins/smooth-scroll                                                                        |          2 |        278 |        188 |        112 |        578 |
| themes/navigator-hugo/static/plugins/smooth-scroll/dist                                                                   |          2 |        278 |        188 |        112 |        578 |
| themes/navigator-hugo/static/plugins/smooth-scroll/dist/js                                                                |          2 |        278 |        188 |        112 |        578 |
| themes/navigator-hugo/static/plugins/themefisher-font                                                                     |          1 |      2,511 |          2 |          5 |      2,518 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                  | language       | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/dgee/Documents/blog/blog/archetypes/default.md                                                                     | Markdown       |          5 |          0 |          2 |          7 |
| /Users/dgee/Documents/blog/blog/assets/scripts/ui_journey_app_1.jsx                                                       | JavaScript JSX |         37 |          5 |          8 |         50 |
| /Users/dgee/Documents/blog/blog/assets/scripts/ui_journey_app_2.jsx                                                       | JavaScript JSX |         13 |          0 |          1 |         14 |
| /Users/dgee/Documents/blog/blog/babel.config.js                                                                           | JavaScript     |         11 |          0 |          1 |         12 |
| /Users/dgee/Documents/blog/blog/content/blog/2012/09/cisco-me3750-eompls-over-es-ports.md                                 | Markdown       |         29 |          0 |          8 |         37 |
| /Users/dgee/Documents/blog/blog/content/blog/2012/09/skilled-teams-and-the-not-so-skilled.md                              | Markdown       |         39 |          0 |         17 |         56 |
| /Users/dgee/Documents/blog/blog/content/blog/2012/10/business-acumen-in-networking.md                                     | Markdown       |         28 |          0 |         12 |         40 |
| /Users/dgee/Documents/blog/blog/content/blog/2012/10/f-vrf-ipsec.md                                                       | Markdown       |         94 |          0 |         12 |        106 |
| /Users/dgee/Documents/blog/blog/content/blog/2013/05/cloud-fog-automation-and-ruby-step-1-with-junos.md                   | Markdown       |        110 |          0 |         74 |        184 |
| /Users/dgee/Documents/blog/blog/content/blog/2013/06/junos-vlan-stretch-srx-branch-who-needs-ciscos-otv.md                | Markdown       |        260 |          0 |         54 |        314 |
| /Users/dgee/Documents/blog/blog/content/blog/2013/09/vrfs.md                                                              | Markdown       |        159 |          0 |         43 |        202 |
| /Users/dgee/Documents/blog/blog/content/blog/2013/10/ipv4-ipv6-global-multicast-addressing.md                             | Markdown       |         90 |          0 |         45 |        135 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/04/ciscolivewriteup.md                                                  | Markdown       |         19 |          0 |         13 |         32 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/04/objectifying-network-using-python.md                                 | Markdown       |        292 |          0 |         96 |        388 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/05/cli-scraping-python.md                                               | Markdown       |        365 |          0 |        137 |        502 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/05/from-cli-to-python-beginner.md                                       | Markdown       |        123 |          0 |         81 |        204 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/05/using-ciscos-onepk-python.md                                         | Markdown       |        291 |          0 |         89 |        380 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/05/using-juniper-pyez-library.md                                        | Markdown       |        436 |          0 |        126 |        562 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/06/cognitively-adjusted-networking.md                                   | Markdown       |         22 |          0 |         14 |         36 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/06/vxlan-mtu-vs-ip-mtu-consideration.md                                 | Markdown       |         49 |          0 |         29 |         78 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/07/devops-will-adopt-networking.md                                      | Markdown       |         24 |          0 |         16 |         40 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/07/netdevops-journey-begins.md                                          | Markdown       |         15 |          0 |          6 |         21 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/08/network-automation-devops-vs-netops-right-tools.md                   | Markdown       |         63 |          0 |         33 |         96 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/08/network-automation-shifting-fear-landscape.md                        | Markdown       |         28 |          0 |         20 |         48 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/09/big-switch-tap-fabric.md                                             | Markdown       |         31 |          0 |         23 |         54 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/09/cisco-aci-hardware-scalability.md                                    | Markdown       |         12 |          0 |          4 |         16 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/09/network-automation-controller-questionnaire.md                       | Markdown       |         17 |          0 |          5 |         22 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/09/network-aware-software-rubbish-idea-opendaylight-function.md         | Markdown       |         29 |          0 |         21 |         50 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/09/network-field-day-8-nfd8.md                                          | Markdown       |         23 |          0 |         11 |         34 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/09/white-box-switching-cavium-xpliant.md                                | Markdown       |         12 |          0 |          4 |         16 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/10/ipv6-adoption-uk.md                                                  | Markdown       |         19 |          0 |          7 |         26 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/10/white-box-switching-welcome-broadcom-strataxgs-tomahawk.md           | Markdown       |         28 |          0 |         11 |         39 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/11/pypi-custom-python-packages-networking-peoples.md                    | Markdown       |        223 |          0 |         61 |        284 |
| /Users/dgee/Documents/blog/blog/content/blog/2014/11/python-building-simple-netconf-rpc-tool.md                           | Markdown       |         84 |          0 |         24 |        108 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/01/coding-basics-python-visual-studio.md                                | Markdown       |         28 |          0 |         14 |         42 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/02/multigigabit-ethernet-2-5-5-0gbps-nbase-t-alliance.md                | Markdown       |         71 |          0 |         46 |        117 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/03/cisco-live-europe-2015-year-ahead.md                                 | Markdown       |         40 |          0 |         21 |         61 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/04/git-for-network-engineers.md                                         | Markdown       |        280 |          0 |        140 |        420 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/04/junos-export-policy-not-working.md                                   | Markdown       |        162 |          0 |         32 |        194 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/04/the-zen-of-sailing-through-it-projects.md                            | Markdown       |         43 |          0 |         31 |         74 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/05/validating-and-searching-json.md                                     | Markdown       |         77 |          0 |         22 |         99 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/07/netdevops-delivering-network-levers.md                               | Markdown       |         21 |          0 |          9 |         30 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/08/working-from-home-on-4g.md                                           | Markdown       |         52 |          0 |         41 |         93 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/09/killer-sdn-apps-late-2015.md                                         | Markdown       |         49 |          0 |         23 |         72 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/10/education-for-sdn-from-the-onf.md                                    | Markdown       |         55 |          0 |         34 |         89 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/10/openstack-summit-tokyo-2015-tuesday-27th-show-notes.md               | Markdown       |         59 |          0 |         48 |        107 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/11/openstack-summit-tokyo-2015-thursday-29th-show-notes.md              | Markdown       |         44 |          0 |         34 |         78 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/11/openstack-summit-tokyo-2015-wednesday-28th-show-notes.md             | Markdown       |         33 |          0 |         21 |         54 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/12/business-titles-ceo-founder-managing-director-proprietor.md          | Markdown       |         40 |          0 |         28 |         68 |
| /Users/dgee/Documents/blog/blog/content/blog/2015/12/how-to-not-present-to-the-swiss-3.md                                 | Markdown       |         19 |          0 |          3 |         22 |
| /Users/dgee/Documents/blog/blog/content/blog/2016/01/open-networking-the-eject-button.md                                  | Markdown       |         39 |          0 |         27 |         66 |
| /Users/dgee/Documents/blog/blog/content/blog/2016/05/golang-net-package-udp-client-with-specific-source-port.md           | Markdown       |         56 |          0 |         27 |         83 |
| /Users/dgee/Documents/blog/blog/content/blog/2016/06/simplify-simplify-simplify-in-sales-2.md                             | Markdown       |         16 |          0 |          4 |         20 |
| /Users/dgee/Documents/blog/blog/content/blog/2016/07/golang-exercising-pointers-interfaces-functions-and-wrapping.md      | Markdown       |        146 |          0 |         60 |        206 |
| /Users/dgee/Documents/blog/blog/content/blog/2016/09/nfv-skills-mutable-vs-immutable-infrastructure-2.md                  | Markdown       |         43 |          0 |         28 |         71 |
| /Users/dgee/Documents/blog/blog/content/blog/2016/10/discussing-disruption-to-it.md                                       | Markdown       |         28 |          0 |         16 |         44 |
| /Users/dgee/Documents/blog/blog/content/blog/2016/11/openstack-summit-barcelona-2016-current-state.md                     | Markdown       |         44 |          0 |         21 |         65 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/02/automation-build-or-consume.md                                       | Markdown       |         30 |          0 |         13 |         43 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/02/python-real-world-hacking-on-stackstorm-network-engineer-focussed.md | Markdown       |        248 |          0 |         78 |        326 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/03/linux-systemd-golang-services-using-kardianos-service.md             | Markdown       |        151 |          0 |         56 |        207 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/03/nfs-for-network-engineers.md                                         | Markdown       |        115 |          0 |         50 |        165 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/04/developing-software-the-right-way-with-intent-and-carefulness.md     | Markdown       |         72 |          0 |         40 |        112 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/05/stackstorm-ghost2logger-pack.md                                      | Markdown       |        100 |          0 |         39 |        139 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/05/workflow-enhanced-networking.md                                      | Markdown       |         70 |          0 |         45 |        115 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/06/golang-iota.md                                                       | Markdown       |        102 |          0 |         33 |        135 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/06/ultimate-go-ardanlabs-training-course-writeup.md                     | Markdown       |         46 |          0 |         32 |         78 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/07/automation-and-state.md                                              | Markdown       |        101 |          0 |         51 |        152 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/07/golang-magic.md                                                      | Markdown       |         96 |          0 |         46 |        142 |
| /Users/dgee/Documents/blog/blog/content/blog/2017/09/declarative-and-imperative-automation-thinking.md                    | Markdown       |         62 |          0 |         34 |         96 |
